,type,x,y,z
0,1.0,-0.7809122860175635,-1.163023548942547,-1.7522697482346408
1,1.0,-0.6536076656047155,-0.990155912468145,0.9035679287966534
2,1.0,-0.8588923928751254,1.6779891093023083,-1.770692074718621
3,1.0,1.8887529950747244,-1.1149074475972605,-1.5459200741157657
4,1.0,-0.7331469786974909,1.5547129437908012,0.9059370233760387
5,1.0,1.8718706279795068,-1.105963468220861,1.3081782882464288
6,1.0,1.785891096156731,1.6823385792446122,-1.5421751956938823
7,1.0,1.80632366857239,1.7207685779090496,1.2872496901129584
8,1.0,-2.2902324349060343,0.23420895462221766,-0.4609185312579606
9,1.0,0.5803190385545739,-2.6636203154504887,-0.19900195878776727
10,1.0,0.5259508594186129,0.26083272740997304,-3.168253112466517
11,1.0,0.46254473074180047,0.307264864534157,2.7689069824317882
12,1.0,0.4396339567543324,3.233053712905278,-0.20148254800293716
13,1.0,3.26238217188628,0.31107751747839896,-0.05637686582824218
14,1.0,-2.2776614513016793,-2.528865540446033,-0.24902480161308754
15,1.0,-2.39851791782847,0.2127942638606431,-3.0678310269581437
16,1.0,0.5211313823274861,-2.663362080876355,-2.984841969607369
17,1.0,-2.1943759922936796,0.2512021858776301,2.448379047265735
18,1.0,-2.4010083432081304,2.991859674175609,-0.23159339479840646
19,1.0,0.38077272822797525,-2.4886506184755772,2.7448354529247125
20,1.0,0.404252111869376,3.1967109522913475,-2.9850546086484795
21,1.0,3.2233099694722265,-2.6266352341521997,0.04255828861318331
22,1.0,3.2624027301145797,0.29085603988031117,-2.890536612666481
23,1.0,0.3085460227961429,3.020459164171677,2.806726845348547
24,1.0,3.145152914308079,0.2939177746903909,2.9084660676504437
25,1.0,3.1404949134985753,3.191580243660244,-0.004927177694113863
26,1.0,-3.8307165703199315,-1.213659670454371,-1.623834793950284
27,1.0,-0.9670468817494476,-4.051186398022364,-1.5199211354413609
28,1.0,-1.0161862040398297,-1.2404182472738046,-4.375553503664867
29,1.0,-3.7047867696376215,-1.1294480665763886,1.1420965194514519
30,1.0,-3.883309067088296,1.602640212517107,-1.6228377024340075
31,1.0,-0.9900598514404466,-3.9364006532889184,1.3129440455492816
32,1.0,-1.0634568826366442,1.706025617451054,-4.3713226566546375
33,1.0,1.871805119279833,-4.110503668501328,-1.4374947580782793
34,1.0,1.8923611649590295,-1.2191726758377905,-4.349694591909526
35,1.0,-2.4260220848504264,-2.645269017826829,-2.9250837618345793
36,1.0,-3.774952001548221,1.5375978511754904,1.1547901250268067
37,1.0,1.7530782967943708,-4.048651540733674,1.48903377531302
38,1.0,1.8325474194719853,1.7425924949778373,-4.353375128572946
39,1.0,-1.0473430868002218,-1.0907447677247828,4.213054095491307
40,1.0,-1.1158136641304899,4.55163313693187,-1.4951965328323915
41,1.0,4.6105928714132105,-1.1904355303643728,-1.3597014031632644
42,1.0,-2.3666480435472677,-2.470140695727066,2.661804406406844
43,1.0,-2.521469348292177,3.095650700313222,-2.91616284032037
44,1.0,3.2511495281084266,-2.6488143265756854,-2.8236415392212657
45,1.0,-1.0964594046578904,1.5889472473269757,4.287502431879145
46,1.0,-1.1117270339727359,4.413212553182747,1.3697986971604597
47,1.0,1.728148011795031,-1.1600397611105844,4.333294250503906
48,1.0,1.7604455991357777,4.6387471302742105,-1.4514494464425678
49,1.0,4.537133944606165,-1.1662602024725883,1.54863949001245
50,1.0,4.591950233358869,1.7500241360525417,-1.3768932864743477
51,1.0,1.7160292201219631,1.677993887055802,4.3694349508070855
52,1.0,1.6674768769456725,4.548134450054786,1.4902067147177231
53,1.0,4.521323002820369,1.7286167918679234,1.5184779114581377
54,1.0,-2.4470032799031833,2.9036876762350956,2.7045777046960997
55,1.0,3.1067767889403433,-2.6072375408254422,2.9618702412379347
56,1.0,3.1733830424297143,3.1645593686770295,-2.827183120880419
57,1.0,3.069554961587625,3.1108666010863413,2.9505736625670185
58,1.0,-5.309185305939494,0.16921307364842703,-0.14535695431609807
59,1.0,0.3312677815684514,-5.495198944975445,0.05571852205072394
60,1.0,0.3421765708163174,0.2326451403797559,-5.704601202307963
61,1.0,0.2869513063753297,0.22764802360866918,5.800449168267336
62,1.0,0.23041404494998807,5.956195723614071,0.07966510147472804
63,1.0,5.932886556088837,0.25592930357788246,0.14660157615827327
64,1.0,-5.349022210200054,-2.596018628142673,0.011900424157618925
65,1.0,-5.440920186860026,0.1795955906838211,-2.8070219137663526
66,1.0,-2.5383719566106775,-5.428954156578375,0.05489790005786643
67,1.0,-2.586440303873791,0.20718042815201212,-5.624597052866953
68,1.0,0.3195326899213795,-5.544631721929485,-2.753566096591614
69,1.0,0.32475921184746886,-2.6808281820520756,-5.6274912695628805
70,1.0,-3.944540320720226,-4.025329823622365,-1.3771613802196714
71,1.0,-3.9951870182935303,-1.2410438306984277,-4.220177574167544
72,1.0,-1.1091521989523758,-4.10861274715091,-4.196929209864304
73,1.0,-3.9245791835887154,-3.9809195688224284,1.4267741640816554
74,1.0,-4.022865893316965,1.635536456879536,-4.21098682001816
75,1.0,1.7842661031723477,-4.129988671471224,-4.202672692478839
76,1.0,-5.264582990998459,0.1824681236237022,2.745950550236716
77,1.0,-5.3984382143393725,2.98164438014729,0.022076351810129794
78,1.0,0.2192530245552556,-5.44411397126056,2.9546294461416207
79,1.0,0.27360305560281545,3.1262763605849364,-5.640755023924083
80,1.0,3.101076145113864,-5.530243250058956,0.173848738970878
81,1.0,3.1794465184585827,0.24154730495949733,-5.631274534185789
82,1.0,-3.872854433761792,-1.1515121453126198,4.202424862092928
83,1.0,-4.021155713528617,4.46246463181128,-1.3444103114021704
84,1.0,-1.15984179901495,-3.9651218000594985,4.305436616360863
85,1.0,-1.1896573995540736,4.556092890865372,-4.203250262224715
86,1.0,4.545222772900067,-4.104663931513802,-1.274390901108967
87,1.0,4.601351319529586,-1.210694130417284,-4.166621765122656
88,1.0,-3.917378594440927,1.550299594121225,4.228344657470328
89,1.0,-3.988940239064357,4.386007638788229,1.4580865810709918
90,1.0,1.626125098451659,-4.039641199130951,4.400823939725781
91,1.0,1.7310119362223009,4.584342488069843,-4.2155204398883726
92,1.0,4.486904498993448,-4.082872359269313,1.6348613223339887
93,1.0,4.588914798772196,1.7046338559773873,-4.170274280565557
94,1.0,-1.211268720829104,4.401299497894648,4.357642489096312
95,1.0,4.4812713036735605,-1.1988017971964602,4.453536752763762
96,1.0,4.529113035331858,4.567580581684046,-1.3045707642767936
97,1.0,1.6183686903893744,4.481281183797033,4.440232472338279
98,1.0,4.481318463944053,1.6492853988559508,4.4558868034078065
99,1.0,4.474236692102434,4.532238435186906,1.5939938713735162
100,1.0,-2.588932419317923,0.204505430991977,5.808245805578193
101,1.0,-2.6136643364865906,5.882545352046181,0.11088195894053529
102,1.0,0.23367608986112717,-2.590577279327521,5.782605051473078
103,1.0,0.2413262747912452,5.9938885371732775,-2.759654748664854
104,1.0,5.905110453618825,-2.6526604701296157,0.19948754837636481
105,1.0,5.982431267769816,0.2432856093748768,-2.7008096239257995
106,1.0,-5.456792262367534,-2.652984962675381,-2.7326034976940092
107,1.0,-2.595753410712255,-5.506165605606485,-2.7136201517542937
108,1.0,-2.6117963341787642,-2.680345180117833,-5.5714458001867655
109,1.0,0.21773076934300847,3.039943986192078,5.8350396323559846
110,1.0,0.17785760648679266,5.877143485606226,2.9967265172818527
111,1.0,3.0611008390329615,0.2137912041101405,5.88928917516895
112,1.0,3.0690536350556874,5.973258329558284,0.15494427659175888
113,1.0,5.9112327563798095,0.23352677013158685,3.0279284350891134
114,1.0,5.925208760161519,3.120266103956585,0.1650549018227898
115,1.0,-5.3613526268350675,-2.5892109694394323,2.8904382187852544
116,1.0,-5.494261711556123,3.0425151363786114,-2.709411882173257
117,1.0,-2.5957224336947093,-5.415007518150688,2.942154616580885
118,1.0,-2.646311447309616,3.088941975605648,-5.583090872583826
119,1.0,3.1448635410886,-5.567210556109387,-2.7184811139863387
120,1.0,3.1742590667497224,-2.692515577144727,-5.599847556441158
121,1.0,-5.404031400880155,2.9737177876881646,2.9089745677394983
122,1.0,3.049787808463802,-5.512759646203378,3.0599365828822336
123,1.0,3.153380848803363,3.131956966331854,-5.613483363122695
124,1.0,-6.901249395369706,-1.2370045352729175,-1.3037353359245318
125,1.0,-1.1949870023020726,-6.935678648918402,-1.2661949822765635
126,1.0,-1.1984465839747813,-1.2421458299772123,-6.979467617823915
127,1.0,-2.5878645219116243,-2.5853079539827077,5.773409317149669
128,1.0,-2.6628748862912177,5.937878500088418,-2.709731679424634
129,1.0,5.955354287642356,-2.6731472022731113,-2.688697466228123
130,1.0,-6.823296231510616,-1.2164903580253108,1.504347390705121
131,1.0,-6.913843783810278,1.5992725817410285,-1.2918000691883382
132,1.0,-1.211565238476716,-6.889878044326961,1.5714995770694653
133,1.0,-1.2091499514202897,1.648476925668399,-6.992545780129025
134,1.0,1.6689040517565281,-6.964358752411556,-1.2548178030608517
135,1.0,1.698725550145355,-1.2366582290688741,-7.007481812293487
136,1.0,-6.832876875238622,1.5820519588416402,1.512093164231668
137,1.0,1.6227800332636249,-6.941988402859277,1.6303346574646453
138,1.0,1.6857326387225522,1.663854178528222,-7.018221262934395
139,1.0,-2.624139111156072,2.992501211207963,5.800364148711813
140,1.0,-2.6329272098523533,5.835277236062947,2.9704913938475275
141,1.0,3.0534961243030443,-2.6499829042155603,5.882844273813278
142,1.0,3.1249817762416874,5.998159249104062,-2.7360303158586796
143,1.0,5.908986459558483,-2.6410597806628613,3.0513420944941334
144,1.0,5.975396969023822,3.118909117527386,-2.7029730123239872
145,1.0,-4.056039289232844,-4.083474154025029,-4.10448017162795
146,1.0,3.056683732351226,3.057890474703071,5.902879563255458
147,1.0,3.03766920750594,5.917144658598202,3.051117642423649
148,1.0,5.900005986664583,3.073057730752851,3.0404776359360133
149,1.0,-1.1942180282989772,-1.2074367064144458,7.261000263703399
150,1.0,-1.2382695689176109,7.352690298603804,-1.2525143522759767
151,1.0,7.329852016696466,-1.2276156116689008,-1.2292006707565803
152,1.0,-4.011517380800277,-4.004922290228842,4.37479513592329
153,1.0,-4.091515809599746,4.487283775141973,-4.110471283161686
154,1.0,-1.2047963729087479,1.616862447245468,7.281703061237024
155,1.0,-1.2366260221502061,7.328911543407397,1.615015900007835
156,1.0,1.6307821432988707,-1.22894544778276,7.318261705275847
157,1.0,1.6396855241408965,7.37305870971945,-1.2607229025283473
158,1.0,4.556898866065933,-4.1248811949131,-4.133974924617765
159,1.0,7.330625117154599,-1.2173923015149666,1.6154064409871833
160,1.0,7.351433641139887,1.6524372467493418,-1.233152606196288
161,1.0,1.630938704373823,1.6292925700563965,7.333066398383735
162,1.0,1.605927636974136,7.336936611818274,1.6271583666892608
163,1.0,7.332856755021079,1.6461372814016717,1.6145634008277505
164,1.0,-4.040159067670996,4.4068255855368035,4.387220159881254
165,1.0,4.480029502520043,-4.080131218241824,4.475209729484148
166,1.0,4.5511345218955555,4.54384966801059,-4.143078780185814
