,x,y,z
0,0.15044051022777843,0.044021710372661164,-0.0910383356619268
1,0.1187279484929976,0.030502099796704193,-0.07819339944650626
2,0.08236031266063779,0.02781988209415596,-0.06516708042890848
3,0.23222331010072245,0.06825623925697831,-0.15546561135422557
4,0.07453219220511259,0.02460074821243289,-0.04220608528312341
5,0.15851882314825919,0.020699924240175662,-0.08303098890183151
6,0.12460017671512248,-0.01054120647791096,-0.08805647951492389
7,0.11245945649226016,0.02361103045498958,-0.06686748943402272
8,0.08501316155144892,0.04309130852519909,-0.06952131199406292
9,0.1642902100737488,0.01885403053327841,-0.10975403518644984
10,0.11168355346992916,0.0008560085920075963,-0.0956756366936591
11,0.10504007291960171,0.030982967581235615,-0.06600431398997343
12,0.06905479350699789,0.021454279116767193,-0.045463107372794374
13,0.14967407003091157,0.013896853488843208,-0.0806448869298602
14,0.08246866521851125,0.018574035547835235,-0.07245212541220983
15,0.05033866339634214,0.011649229577767223,-0.027934973922091554
16,0.1794632917823221,0.059766262154239684,-0.09608895444103545
17,0.06812113187711037,0.030446014455453366,-0.04353898649296251
18,0.10986411409420216,0.0124525164105792,-0.06780438221028792
19,0.04103091171925474,0.032031731373008306,-0.031233389264550576
20,0.14553005951257594,0.031388153798162746,-0.10974912740602226
21,0.05615412817813488,-0.018721103063567404,-0.03500503875145567
22,0.1468767490291975,-0.02547891797682411,-0.11593162290869591
23,0.05406545741934529,0.03755061228231808,-0.03741900166390868
24,0.08012254113976086,0.017177561786475927,-0.03863581809268593
25,0.06334489379194913,-0.006697595998781873,-0.045200697556425945
26,0.03680949733645562,0.018414742899053645,-0.026271632712142227
27,0.09761614594957096,0.027919907117352497,-0.07539215766544896
28,0.046707065237161796,-0.0019386504693069682,-0.03848027913190676
29,0.056728094126194464,0.018057542037955104,-0.04285269876745632
30,0.09382156759165475,0.006003401485282681,-0.07679795861589506
31,0.022465042462963436,0.020870538058694914,-0.01723144510783844
32,0.13554499019574667,0.03446210695875673,-0.09344596768620357
33,0.026322206248180293,-0.010086162982194821,-0.021470567183404336
