Generated by pymatgen.io.lammps.data.LammpsData

167  atoms

  2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

1     4  1 28.615773 28.543869 28.543869
2     4  1  0.002308  0.011516  2.854669
3     4  1  0.000281  0.001295  5.711039
8     4  1  0.000063 -0.000083 19.987118
9     4  1 -0.000311  0.001764 22.845679
10    4  1 28.465802 28.497331 25.784736
11    4  1  0.002308  2.854669  0.011516
12    4  1 28.532398  2.834405  2.834405
19    4  1 28.555913  2.854457 22.844411
20    4  1  0.000021  2.858429 25.697584
21    4  1  0.000281  5.711039  0.001295
30    4  1  0.001271  5.712624 25.696475
71    4  1  0.000063 19.987118 -0.000083
80    4  1  0.000244 19.987318 25.697550
81    4  1 -0.000311 22.845679  0.001764
82    4  1 28.555913 22.844411  2.854457
89    4  1 28.549924 22.848904 22.848904
90    4  1  0.002463 22.843488 25.695261
91    4  1 28.465802 25.784736 28.497331
92    4  1  0.000021 25.697584  2.858429
93    4  1  0.001271 25.696475  5.712624
98    4  1  0.000244 25.697550 19.987318
99    4  1  0.002463 25.695261 22.843488
100   4  1 28.508979 25.741693 25.741693
101   4  1  2.861929  0.004014  0.004014
102   4  1  2.853324 28.551531  2.853444
109   4  1  2.849710 28.552755 22.848057
110   4  1  2.852054  0.001685 25.697934
111   4  1  2.853324  2.853444 28.551531
119   4  1  2.846478  2.846242 22.851315
120   4  1  2.853329  2.854407 25.694968
181   4  1  2.849710 22.848057 28.552755
182   4  1  2.846478 22.851315  2.846242
189   4  1  2.848006 22.849777 22.849777
190   4  1  2.848866 22.848892 25.700951
191   4  1  2.852054 25.697934  0.001685
192   4  1  2.853329 25.694968  2.854407
199   4  1  2.848866 25.700951 22.848892
200   4  1  2.854273 25.695164 25.695164
201   4  1  5.711130 -0.000073 -0.000073
210   4  1  5.710707 -0.000121 25.697655
291   4  1  5.710707 25.697655 -0.000121
300   4  1  5.710517 25.697498 25.697498
701   4  1 19.985020  0.000691  0.000691
710   4  1 19.986836  0.001440 25.697370
791   4  1 19.986836 25.697370  0.001440
800   4  1 19.985173 25.696506 25.696506
801   4  1 22.796552  0.003825  0.003825
802   4  1 22.854920 28.546652  2.842858
809   4  1 22.843934 28.551901 22.844193
810   4  1 22.843010  0.011921 25.695046
811   4  1 22.854920  2.842858 28.546652
812   4  1 22.857109  2.840689  2.840689
819   4  1 22.843539  2.854255 22.845157
820   4  1 22.862992  2.834781 25.718249
881   4  1 22.843934 22.844193 28.551901
882   4  1 22.843539 22.845157  2.854255
889   4  1 22.851545 22.851304 22.851304
890   4  1 22.843313 22.844406 25.694973
891   4  1 22.843010 25.695046  0.011921
892   4  1 22.862992 25.718249  2.834781
899   4  1 22.843313 25.694973 22.844406
900   4  1 22.839243 25.697606 25.697606
901   4  1 26.409464 27.840676 27.840676
902   4  1 25.693851  0.003737  2.901184
903   4  1 25.697073  0.000675  5.712785
908   4  1 25.697580  0.000216 19.986880
909   4  1 25.693251  0.004482 22.835824
910   4  1 25.705897 28.544833 25.634122
911   4  1 25.693851  2.901184  0.003737
912   4  1 25.704251  2.842804  2.842804
919   4  1 25.698990  2.853846 22.844188
920   4  1 25.685781  2.854728 25.695012
921   4  1 25.697073  5.712785  0.000675
930   4  1 25.696326  5.710985 25.697339
971   4  1 25.697580 19.986880  0.000216
980   4  1 25.697875 19.987110 25.697730
981   4  1 25.693251 22.835824  0.004482
982   4  1 25.698990 22.844188  2.853846
989   4  1 25.698124 22.848056 22.848056
990   4  1 25.695951 22.845672 25.698034
991   4  1 25.705897 25.634122 28.544833
992   4  1 25.685781 25.695012  2.854728
993   4  1 25.696326 25.697339  5.710985
998   4  1 25.697875 25.697730 19.987110
999   4  1 25.695951 25.698034 22.845672
1000  4  1 25.753298 25.784853 25.784853
1001  4  1  1.427152  1.426955  1.426955
1002  4  1  1.426795  1.430479  4.282656
1008  4  1  1.426316  1.425773 21.417043
1009  4  1  1.402651  1.405099 24.295049
1010  4  1  1.425036  1.430805 27.114552
1011  4  1  1.426795  4.282656  1.430479
1019  4  1  1.426433  4.281969 24.271352
1020  4  1  1.426197  4.282519 27.126770
1071  4  1  1.426316 21.417043  1.425773
1079  4  1  1.426886 21.416637 24.270898
1080  4  1  1.425992 21.417065 27.126127
1081  4  1  1.402651 24.295049  1.405099
1082  4  1  1.426433 24.271352  4.281969
1088  4  1  1.426886 24.270898 21.416637
1089  4  1  1.409935 24.287774 24.287774
1090  4  1  1.412016 24.285655 27.133129
1091  4  1  1.425036 27.114552  1.430805
1092  4  1  1.426197 27.126770  4.282519
1098  4  1  1.425992 27.126127 21.417065
1099  4  1  1.412016 27.133129 24.285655
1100  4  1  1.471784 27.122837 27.122837
1101  4  1  4.284384  1.427946  1.427946
1109  4  1  4.280745  1.425770 24.271454
