,iter,ntrans,curvature,ediff,ediffmax
0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0,0.0
2,2.0,0.0,10.162,0.0,0.0
3,3.0,0.0,10.162,0.0,0.0
4,4.0,0.0,5.812,0.0,0.0
5,5.0,0.0,5.812,0.0,0.0
6,6.0,0.0,4.362,0.0,0.0
7,79.0,10.0,1.466,0.256,0.258
8,80.0,10.0,1.466,0.266,0.266
9,81.0,10.0,1.466,0.307,0.307
10,82.0,10.0,1.457,0.311,0.311
11,83.0,10.0,1.457,0.309,0.311
12,84.0,10.0,1.453,0.311,0.311
13,85.0,10.0,1.453,0.309,0.311
14,86.0,10.0,1.449,0.311,0.311
15,159.0,20.0,1.35,1.003,1.006
16,160.0,20.0,1.35,1.021,1.021
17,161.0,20.0,1.35,1.1,1.1
18,162.0,20.0,1.342,1.108,1.108
19,163.0,20.0,1.342,1.105,1.108
20,164.0,20.0,1.341,1.108,1.108
21,165.0,20.0,1.341,1.105,1.108
22,166.0,20.0,1.341,1.108,1.108
23,239.0,30.0,1.231,2.248,2.252
24,240.0,30.0,1.231,2.275,2.275
25,241.0,30.0,1.231,2.392,2.392
26,242.0,30.0,1.212,2.404,2.404
27,243.0,30.0,1.212,2.399,2.404
28,244.0,30.0,1.21,2.404,2.404
29,245.0,30.0,1.21,2.399,2.404
30,246.0,30.0,1.209,2.404,2.404
31,319.0,40.0,-2.84,2.761,3.184
32,320.0,40.0,-2.84,2.724,3.184
33,321.0,40.0,-2.84,2.631,3.184
34,322.0,40.0,-2.854,2.631,3.184
35,361.0,50.0,-2.958,1.583,3.184
36,362.0,50.0,-2.958,1.553,3.184
37,363.0,50.0,-2.958,1.484,3.184
38,364.0,50.0,-2.968,1.484,3.184
39,401.0,60.0,-3.031,0.74,3.184
40,402.0,60.0,-3.031,0.72,3.184
41,403.0,60.0,-3.031,0.675,3.184
42,404.0,60.0,-3.035,0.675,3.184
43,443.0,70.0,-3.026,0.242,3.184
44,444.0,70.0,-3.026,0.233,3.184
45,445.0,70.0,-3.026,0.212,3.184
46,446.0,70.0,-3.019,0.212,3.184
47,501.0,80.0,-2.917,0.092,3.184
48,502.0,80.0,-2.917,0.092,3.184
49,503.0,80.0,-2.917,0.092,3.184
50,504.0,80.0,-2.912,0.092,3.184
51,540.0,90.0,-2.912,0.092,3.184
52,541.0,90.0,-2.912,0.093,3.184
53,542.0,90.0,-2.912,0.092,3.184
