,iter,ntrans,curvature,ediff,ediffmax
0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0,0.0
2,2.0,0.0,9.699,0.0,0.0
3,3.0,0.0,9.699,0.0,0.0
4,4.0,0.0,5.765,0.0,0.0
5,5.0,0.0,5.765,0.0,0.0
6,6.0,0.0,4.332,0.0,0.0
7,79.0,10.0,0.594,0.279,0.281
8,80.0,10.0,0.594,0.286,0.286
9,81.0,10.0,0.594,0.318,0.318
10,82.0,10.0,-0.31,0.321,0.321
11,83.0,10.0,-0.31,0.319,0.321
12,84.0,10.0,-0.678,0.321,0.321
13,85.0,10.0,-0.678,0.319,0.321
14,86.0,10.0,-0.893,0.321,0.321
15,157.0,20.0,-2.633,0.108,0.326
16,158.0,20.0,-2.633,0.104,0.326
17,159.0,20.0,-2.633,0.099,0.326
18,160.0,20.0,-2.807,0.099,0.326
19,161.0,20.0,-2.807,0.099,0.326
20,162.0,20.0,-2.81,0.099,0.326
21,201.0,30.0,-2.912,0.092,0.326
22,202.0,30.0,-2.912,0.092,0.326
23,203.0,30.0,-2.912,0.092,0.326
24,204.0,30.0,-2.912,0.092,0.326
25,235.0,40.0,-2.912,0.092,0.326
26,236.0,40.0,-2.912,0.092,0.326
27,237.0,40.0,-2.912,0.092,0.326
