,idav,idsps,barrier,prefactor,ebias,dmag,dmax,dsum,dsumr,dmagfi,dmaxfi,dsumfi,dsumrfi,isConnect,probability,isSel
0,0,0,0.092,10.000,-0.546,0.416,0.377,0.262,0.190,1.215,1.164,1.266,0.420,1,50.000,1
1,1,1,0.092,10.000,-0.546,0.416,0.377,0.262,0.190,1.215,1.164,1.266,0.420,1,50.000,0
