,idav,idsps,type,iters,ntrans,emax,barrier,prefactor,ebias,dtot,dmag,dmax,dsum,adsum,nad,dtotfs,dmagfs,dmaxfs,dsumfs,adsumfs,nadfs,dtotfi,dmagfi,dmaxfi,dsumfi,adsumfi,nadfi,precursor,isConnect
0,0,0,1,991,169,11.496,0.646,10.0,0.553,2.825,0.863,0.805,0.573,2.632,18,1.372,0.396,0.358,0.44,1.312,12,3.189,1.213,1.162,1.013,3.005,10,0,1
1,0,1,2,1316,198,14.69,0.649,10.0,0.553,2.801,0.861,0.804,0.491,2.607,17,1.36,0.397,0.359,0.474,1.297,11,3.178,1.213,1.162,0.965,2.995,10,0,1
2,1,0,1,1107,184,13.242,0.646,10.0,0.553,2.821,0.863,0.805,0.578,2.628,18,1.37,0.396,0.358,0.445,1.31,12,3.18,1.213,1.162,1.023,2.996,10,0,1
3,1,1,2,995,164,10.734,0.646,10.0,0.553,2.82,0.863,0.805,0.578,2.627,18,1.37,0.396,0.358,0.445,1.309,12,3.18,1.213,1.162,1.023,2.996,10,0,1
