,idav,idsps,type,iters,ntrans,emax,barrier,prefactor,ebias,dtot,dmag,dmax,dsum,adsum,nad,dtotfs,dmagfs,dmaxfs,dsumfs,adsumfs,nadfs,dtotfi,dmagfi,dmaxfi,dsumfi,adsumfi,nadfi,precursor,isConnect,reason
0,0,2,3,240,41,0.326,0.092,10.0,-0.546,1.424,0.416,0.377,0.262,1.381,15,2.773,0.847,0.787,1.004,2.603,18,3.202,1.215,1.164,1.266,3.016,11,0,1,DupAV
0,1,0,1,1501,207,12.34,0.094,10.0,-0.544,1.377,0.416,0.38,0.489,1.319,11,2.723,0.834,0.778,0.48,2.535,17,3.157,1.208,1.157,0.97,2.979,10,0,1,Dup
