,idav,idsps,barrier,prefactor,ebias,dmag,dmax,dsum,dsumr,dmagfi,dmaxfi,dsumfi,dsumrfi,isConnect,probability,isSel
0,0,0,0.646,10.000,0.553,0.863,0.805,0.573,0.218,1.213,1.162,1.013,0.337,1,25.269,0
1,0,1,0.649,10.000,0.553,0.861,0.804,0.491,0.188,1.213,1.162,0.965,0.322,1,24.193,0
2,1,0,0.646,10.000,0.553,0.863,0.805,0.578,0.220,1.213,1.162,1.023,0.341,1,25.269,1
3,1,1,0.646,10.000,0.553,0.863,0.805,0.578,0.220,1.213,1.162,1.023,0.341,1,25.269,0
