,iter,ntrans,curvature,ediff,ediffmax
0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0,0.0
2,2.0,0.0,10.168,0.0,0.0
3,3.0,0.0,10.168,0.0,0.0
4,4.0,0.0,5.898,0.0,0.0
5,5.0,0.0,5.898,0.0,0.0
6,6.0,0.0,4.568,0.0,0.0
7,79.0,10.0,1.391,0.254,0.256
8,80.0,10.0,1.391,0.263,0.263
9,81.0,10.0,1.391,0.301,0.301
10,82.0,10.0,1.375,0.305,0.305
11,83.0,10.0,1.375,0.303,0.305
12,84.0,10.0,1.372,0.305,0.305
13,85.0,10.0,1.372,0.303,0.305
14,86.0,10.0,1.369,0.305,0.305
15,159.0,20.0,-1.906,0.563,0.687
16,160.0,20.0,-1.906,0.547,0.687
17,161.0,20.0,-1.906,0.507,0.687
18,162.0,20.0,-1.976,0.508,0.687
19,163.0,20.0,-1.976,0.507,0.687
20,164.0,20.0,-1.987,0.508,0.687
21,165.0,20.0,-1.987,0.507,0.687
22,166.0,20.0,-1.991,0.508,0.687
23,225.0,30.0,-2.787,0.16,0.687
24,226.0,30.0,-2.787,0.153,0.687
25,227.0,30.0,-2.787,0.14,0.687
26,228.0,30.0,-2.842,0.14,0.687
27,269.0,40.0,-2.911,0.092,0.687
28,270.0,40.0,-2.911,0.092,0.687
29,271.0,40.0,-2.911,0.092,0.687
30,272.0,40.0,-2.912,0.092,0.687
